name,selling_price,km_driven,fuel,transmission,owner,mileage,engine,torque,seats,max_power_hp,car_age,predicted_price,Make,Model
Skoda Rapid 1.5 TDI Ambition,370000,120000,2.0,0,2,21.14,1498,250.0,5.0,103.52,10,333230.43600000005,22,103
Maruti Swift VXI BSIII,130000,120000,3.0,0,1,16.1,1298,11.5,5.0,88.2,17,111777.38000000003,17,122
Hyundai Xcent 1.2 VTVT E Plus,440000,45000,3.0,0,1,20.14,1197,113.75,5.0,81.86,7,440000.0,9,140
Maruti Wagon R LXI DUO BSIII,96000,175000,1.0,0,1,17.3,1061,7.8,5.0,57.5,17,68285.8176,17,135
Toyota Etios VXD,350000,90000,2.0,0,1,23.59,1364,170.0,5.0,67.1,13,311882.34,24,54
Ford Figo Diesel Celebration Edition,200000,169000,2.0,0,1,20.0,1399,160.0,5.0,68.1,11,148515.4,7,57
Renault Duster 110PS Diesel RxL,500000,68000,2.0,0,2,19.01,1461,248.0,5.0,108.45,10,375259.50000000006,21,41
Maruti Swift Dzire VDi,280000,140000,2.0,0,2,19.3,1248,190.0,5.0,73.9,15,198470.58000000002,17,122
Maruti Ertiga SHVS VDI,778000,70000,2.0,0,2,24.52,1248,200.0,7.0,88.5,8,735718.7653200001,17,53
Maruti Alto LX,150000,80000,3.0,0,2,19.7,796,62.0,5.0,46.3,22,102965.94,17,10
Hyundai i20 2015-2017 Asta 1.4 CRDi,680000,100000,2.0,0,1,22.54,1396,219.7,5.0,88.73,8,641586.5280000002,9,148
Mahindra Verito 1.5 D4 BSIII,174000,100000,2.0,0,2,21.0,1461,160.0,5.0,64.1,13,148002.34680000003,16,131
Honda WR-V i-DTEC VX,950000,50000,2.0,0,1,25.5,1498,200.0,5.0,98.6,7,950000.0,8,134
Maruti SX4 ZDI,600000,72000,2.0,0,1,21.5,1248,200.0,5.0,88.8,12,534655.4400000001,17,109
Tata Tigor 2017-2020 XZ,500000,35000,3.0,0,1,20.3,1199,114.0,5.0,83.81,6,500000.0,23,127
Maruti Baleno Delta 1.2,575000,45000,3.0,0,1,21.4,1197,115.0,5.0,83.1,8,575000.0,17,20
Maruti Alto 800 LXI,275000,28000,3.0,0,1,24.7,796,69.0,5.0,47.3,7,275000.0,17,10
Chevrolet Enjoy TCDi LTZ 7 Seater,300000,70000,2.0,0,1,18.2,1248,172.5,7.0,73.8,11,233911.75500000003,3,52
Maruti Omni E MPI STD BS IV,254999,25000,3.0,0,1,16.8,796,59.0,8.0,34.2,6,226524.17966640004,17,92
Maruti Vitara Brezza LDi Option,670000,70000,2.0,0,1,24.3,1248,200.0,5.0,88.5,7,632151.4320000001,17,133
Hyundai i20 1.2 Asta Dual Tone,730000,2388,3.0,0,1,18.6,1197,114.7,5.0,81.83,6,730000.0,9,148
